antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"Air_Severity_Air_High, Energy_Consumption_Level_Medium_Consumption, Soil_Severity_Soil_Low",Water_Severity_Water_Medium,0.1,0.595,0.07,0.7000000000000001,1.1764705882352944,1.0,0.01050000000000001,1.3500000000000003,0.16666666666666677,0.11200000000000002,0.25925925925925947,0.40882352941176475
"Energy_Recovery_Level_Low_Recovery, Overall_Severity_Overall_Medium, Soil_Severity_Soil_Medium",Water_Severity_Water_Medium,0.1,0.595,0.07,0.7000000000000001,1.1764705882352944,1.0,0.01050000000000001,1.3500000000000003,0.16666666666666677,0.11200000000000002,0.25925925925925947,0.40882352941176475
"Energy_Recovery_Level_Medium_Recovery, Energy_Consumption_Level_Medium_Consumption, Overall_Severity_Overall_Medium",Water_Severity_Water_Medium,0.1,0.595,0.07,0.7000000000000001,1.1764705882352944,1.0,0.01050000000000001,1.3500000000000003,0.16666666666666677,0.11200000000000002,0.25925925925925947,0.40882352941176475
"Air_Severity_Air_High, Overall_Severity_Overall_Medium, Energy_Consumption_Level_Medium_Consumption, Soil_Severity_Soil_Low",Water_Severity_Water_Medium,0.1,0.595,0.07,0.7000000000000001,1.1764705882352944,1.0,0.01050000000000001,1.3500000000000003,0.16666666666666677,0.11200000000000002,0.25925925925925947,0.40882352941176475
"Air_Severity_Air_Medium, Energy_Recovery_Level_Medium_Recovery",Water_Severity_Water_Medium,0.15,0.595,0.105,0.7,1.1764705882352942,1.0,0.01575,1.3499999999999999,0.17647058823529413,0.1640625,0.2592592592592592,0.43823529411764706
"Energy_Consumption_Level_Medium_Consumption, Overall_Severity_Overall_Medium, Soil_Severity_Soil_Medium",Water_Severity_Water_Low,0.105,0.405,0.05,0.4761904761904762,1.1757789535567313,1.0,0.0074750000000000025,1.135909090909091,0.16703910614525144,0.10869565217391304,0.11964785914365747,0.2998236331569665
"Energy_Recovery_Level_Low_Recovery, Energy_Consumption_Level_High_Consumption, Water_Severity_Water_Medium",Overall_Severity_Overall_Medium,0.07,0.79,0.065,0.9285714285714285,1.175406871609403,1.0,0.009699999999999993,2.9399999999999964,0.16046319272125714,0.08176100628930816,0.6598639455782308,0.5054249547920433
"Air_Severity_Air_Medium, Energy_Recovery_Level_Low_Recovery, Energy_Consumption_Level_High_Consumption",Soil_Severity_Soil_Low,0.07,0.67,0.055,0.7857142857142857,1.1727078891257994,1.0,0.008099999999999996,1.5399999999999996,0.158357771260997,0.08029197080291972,0.35064935064935054,0.43390191897654584
"Energy_Recovery_Level_Medium_Recovery, Soil_Severity_Soil_Low",Water_Severity_Water_Medium,0.215,0.595,0.15,0.6976744186046512,1.172562048075044,1.0,0.02207500000000001,1.3396153846153849,0.18747346072186846,0.2272727272727273,0.2535170829744474,0.4748876294703928
"Overall_Severity_Overall_Medium, Energy_Consumption_Level_High_Consumption, Soil_Severity_Soil_Low",Air_Severity_Air_Medium,0.15,0.455,0.08,0.5333333333333333,1.1721611721611722,1.0,0.011749999999999997,1.1678571428571427,0.17279411764705876,0.15238095238095237,0.1437308868501529,0.35457875457875454
"Air_Severity_Air_Medium, Water_Severity_Water_Medium",Overall_Severity_Overall_Medium,0.27,0.79,0.25,0.9259259259259258,1.1720581340834504,1.0,0.03669999999999998,2.8349999999999955,0.20109589041095882,0.30864197530864196,0.6472663139329801,0.6211908110642287
"Energy_Consumption_Level_Medium_Consumption, Overall_Severity_Overall_Medium","Water_Severity_Water_Medium, Soil_Severity_Soil_Low",0.27,0.395,0.125,0.4629629629629629,1.1720581340834504,1.0,0.01834999999999999,1.1265517241379308,0.20109589041095882,0.23148148148148145,0.11233547597183949,0.3897093295827473
"Air_Severity_Air_High, Water_Severity_Water_Low","Overall_Severity_Overall_Medium, Soil_Severity_Soil_Low",0.16,0.48,0.09,0.5625,1.171875,1.0,0.013200000000000003,1.1885714285714286,0.17460317460317465,0.1636363636363636,0.15865384615384617,0.375
"Air_Severity_Air_High, Energy_Consumption_Level_High_Consumption","Overall_Severity_Overall_Medium, Water_Severity_Water_Medium",0.095,0.54,0.06,0.631578947368421,1.1695906432748537,1.0,0.008699999999999992,1.2485714285714284,0.160220994475138,0.10434782608695653,0.19908466819221954,0.3713450292397661
"Overall_Severity_Overall_Medium, Soil_Severity_Soil_Medium",Air_Severity_Air_High,0.31,0.4,0.145,0.46774193548387094,1.1693548387096773,1.0,0.02099999999999999,1.1272727272727272,0.20989505247376306,0.25663716814159293,0.11290322580645154,0.4151209677419354
"Energy_Recovery_Level_Medium_Recovery, Energy_Consumption_Level_Medium_Consumption",Water_Severity_Water_Medium,0.115,0.595,0.08,0.6956521739130435,1.1691633175009135,1.0,0.011575000000000002,1.3307142857142857,0.16348870056497178,0.12698412698412698,0.24852388620504562,0.41505297771282423
"Air_Severity_Air_Medium, Overall_Severity_Overall_Medium, Energy_Consumption_Level_Low_Consumption",Water_Severity_Water_Medium,0.115,0.595,0.08,0.6956521739130435,1.1691633175009135,1.0,0.011575000000000002,1.3307142857142857,0.16348870056497178,0.12698412698412698,0.24852388620504562,0.41505297771282423
"Overall_Severity_Overall_Medium, Energy_Recovery_Level_High_Recovery, Energy_Consumption_Level_Low_Consumption",Water_Severity_Water_Medium,0.115,0.595,0.08,0.6956521739130435,1.1691633175009135,1.0,0.011575000000000002,1.3307142857142857,0.16348870056497178,0.12698412698412698,0.24852388620504562,0.41505297771282423
"Air_Severity_Air_High, Water_Severity_Water_Low, Energy_Consumption_Level_Low_Consumption",Overall_Severity_Overall_Medium,0.065,0.79,0.06,0.923076923076923,1.1684518013631937,1.0,0.008649999999999991,2.7299999999999973,0.15418894830659519,0.07547169811320754,0.6336996336996333,0.4995131450827653
"Air_Severity_Air_Medium, Water_Severity_Water_Medium, Energy_Consumption_Level_High_Consumption, Soil_Severity_Soil_Low",Overall_Severity_Overall_Medium,0.065,0.79,0.06,0.923076923076923,1.1684518013631937,1.0,0.008649999999999991,2.7299999999999973,0.15418894830659519,0.07547169811320754,0.6336996336996333,0.4995131450827653
Energy_Consumption_Level_High_Consumption,"Air_Severity_Air_Medium, Overall_Severity_Overall_Medium",0.335,0.345,0.135,0.40298507462686567,1.1680726800778716,1.0,0.01942500000000001,1.0971250000000001,0.21637426900584805,0.24770642201834867,0.088526831491398,0.3971447112264763
"Energy_Recovery_Level_Low_Recovery, Overall_Severity_Overall_Medium",Water_Severity_Water_Medium,0.26,0.595,0.18,0.6923076923076923,1.1635423400129283,1.0,0.02529999999999999,1.31625,0.18993993993993988,0.26666666666666666,0.2402659069325736,0.49741435035552684
"Air_Severity_Air_High, Soil_Severity_Soil_Low","Overall_Severity_Overall_Medium, Water_Severity_Water_Medium",0.255,0.54,0.16,0.6274509803921569,1.1619462599854755,1.0,0.022299999999999986,1.2347368421052631,0.18708053691275156,0.25196850393700787,0.19011082693947137,0.46187363834422657
"Air_Severity_Air_High, Energy_Consumption_Level_Medium_Consumption, Water_Severity_Water_Medium",Soil_Severity_Soil_Low,0.09,0.67,0.07,0.7777777777777779,1.1608623548922057,1.0,0.009700000000000007,1.4850000000000005,0.1522762951334381,0.10144927536231886,0.3265993265993269,0.4411276948590382
"Air_Severity_Air_High, Overall_Severity_Overall_Medium, Energy_Consumption_Level_Medium_Consumption, Water_Severity_Water_Medium",Soil_Severity_Soil_Low,0.09,0.67,0.07,0.7777777777777779,1.1608623548922057,1.0,0.009700000000000007,1.4850000000000005,0.1522762951334381,0.10144927536231886,0.3265993265993269,0.4411276948590382
"Air_Severity_Air_High, Energy_Recovery_Level_Low_Recovery, Energy_Consumption_Level_Low_Consumption",Overall_Severity_Overall_Medium,0.06,0.79,0.055,0.9166666666666667,1.160337552742616,1.0,0.007600000000000003,2.520000000000002,0.14700193423597685,0.06918238993710692,0.6031746031746035,0.49314345991561187
"Water_Severity_Water_Medium, Energy_Consumption_Level_Low_Consumption, Soil_Severity_Soil_Low",Overall_Severity_Overall_Medium,0.12,0.79,0.11,0.9166666666666667,1.160337552742616,1.0,0.015200000000000005,2.520000000000002,0.1570247933884298,0.13749999999999998,0.6031746031746035,0.5279535864978904
"Water_Severity_Water_Medium, Energy_Consumption_Level_Medium_Consumption, Soil_Severity_Soil_Medium",Overall_Severity_Overall_Medium,0.06,0.79,0.055,0.9166666666666667,1.160337552742616,1.0,0.007600000000000003,2.520000000000002,0.14700193423597685,0.06918238993710692,0.6031746031746035,0.49314345991561187
"Air_Severity_Air_Medium, Water_Severity_Water_Medium, Energy_Recovery_Level_Medium_Recovery, Soil_Severity_Soil_Low",Overall_Severity_Overall_Medium,0.06,0.79,0.055,0.9166666666666667,1.160337552742616,1.0,0.007600000000000003,2.520000000000002,0.14700193423597685,0.06918238993710692,0.6031746031746035,0.49314345991561187
"Water_Severity_Water_Medium, Energy_Recovery_Level_High_Recovery, Soil_Severity_Soil_Low, Energy_Consumption_Level_Low_Consumption",Overall_Severity_Overall_Medium,0.06,0.79,0.055,0.9166666666666667,1.160337552742616,1.0,0.007600000000000003,2.520000000000002,0.14700193423597685,0.06918238993710692,0.6031746031746035,0.49314345991561187
"Energy_Recovery_Level_Medium_Recovery, Energy_Consumption_Level_High_Consumption","Air_Severity_Air_Medium, Overall_Severity_Overall_Medium",0.125,0.345,0.05,0.4,1.1594202898550727,1.0,0.006875000000000006,1.0916666666666668,0.15714285714285728,0.11904761904761905,0.08396946564885503,0.2724637681159421
"Energy_Recovery_Level_Medium_Recovery, Energy_Consumption_Level_High_Consumption","Water_Severity_Water_Medium, Overall_Severity_Overall_Medium, Soil_Severity_Soil_Low",0.125,0.345,0.05,0.4,1.1594202898550727,1.0,0.006875000000000006,1.0916666666666668,0.15714285714285728,0.11904761904761905,0.08396946564885503,0.2724637681159421
"Water_Severity_Water_Medium, Overall_Severity_Overall_Medium, Soil_Severity_Soil_Low",Air_Severity_Air_High,0.345,0.4,0.16,0.46376811594202905,1.1594202898550725,1.0,0.02200000000000002,1.118918918918919,0.2099236641221376,0.27350427350427353,0.10628019323671505,0.4318840579710145
"Air_Severity_Air_High, Energy_Recovery_Level_High_Recovery, Energy_Consumption_Level_Low_Consumption","Overall_Severity_Overall_Medium, Water_Severity_Water_Medium",0.08,0.54,0.05,0.625,1.1574074074074074,1.0,0.0068000000000000005,1.2266666666666666,0.14782608695652172,0.08771929824561404,0.1847826086956521,0.3587962962962963
"Energy_Consumption_Level_Medium_Consumption, Soil_Severity_Soil_Low, Energy_Recovery_Level_Medium_Recovery","Overall_Severity_Overall_Medium, Water_Severity_Water_Medium",0.08,0.54,0.05,0.625,1.1574074074074074,1.0,0.0068000000000000005,1.2266666666666666,0.14782608695652172,0.08771929824561404,0.1847826086956521,0.3587962962962963
"Air_Severity_Air_High, Energy_Consumption_Level_Low_Consumption, Water_Severity_Water_Medium","Overall_Severity_Overall_Medium, Soil_Severity_Soil_Low",0.09,0.48,0.05,0.5555555555555556,1.1574074074074074,1.0,0.006800000000000007,1.1700000000000002,0.14945054945054959,0.09615384615384617,0.14529914529914537,0.3298611111111111
"Energy_Recovery_Level_Medium_Recovery, Energy_Consumption_Level_High_Consumption, Overall_Severity_Overall_Medium",Air_Severity_Air_Medium,0.095,0.455,0.05,0.5263157894736842,1.156737998843262,1.0,0.006775000000000003,1.1505555555555553,0.1497237569060774,0.1,0.1308546595847416,0.318102949681897
Energy_Consumption_Level_Low_Consumption,Air_Severity_Air_High,0.335,0.4,0.155,0.46268656716417905,1.1567164179104477,1.0,0.02099999999999999,1.1166666666666667,0.2037351443123938,0.2672413793103448,0.10447761194029839,0.42509328358208953
"Energy_Consumption_Level_Low_Consumption, Soil_Severity_Soil_Medium",Overall_Severity_Overall_Medium,0.115,0.79,0.105,0.9130434782608695,1.155751238304898,1.0,0.014149999999999982,2.4149999999999983,0.1522733387140165,0.13124999999999998,0.5859213250517595,0.5229774353329664
"Water_Severity_Water_Medium, Energy_Recovery_Level_High_Recovery, Soil_Severity_Soil_Low",Overall_Severity_Overall_Medium,0.115,0.79,0.105,0.9130434782608695,1.155751238304898,1.0,0.014149999999999982,2.4149999999999983,0.1522733387140165,0.13124999999999998,0.5859213250517595,0.5229774353329664
"Energy_Recovery_Level_Low_Recovery, Overall_Severity_Overall_Medium, Soil_Severity_Soil_Low",Water_Severity_Water_Medium,0.16,0.595,0.11,0.6875,1.1554621848739497,1.0,0.014800000000000008,1.296,0.16017316017316027,0.17054263565891473,0.2283950617283951,0.43618697478991597
"Energy_Recovery_Level_Low_Recovery, Energy_Consumption_Level_Medium_Consumption, Soil_Severity_Soil_Low",Water_Severity_Water_Medium,0.08,0.595,0.055,0.6875,1.1554621848739497,1.0,0.007400000000000004,1.296,0.14624505928853762,0.08870967741935486,0.2283950617283951,0.389968487394958
"Air_Severity_Air_Medium, Overall_Severity_Overall_Medium, Energy_Recovery_Level_High_Recovery, Soil_Severity_Soil_Low",Water_Severity_Water_Medium,0.08,0.595,0.055,0.6875,1.1554621848739497,1.0,0.007400000000000004,1.296,0.14624505928853762,0.08870967741935486,0.2283950617283951,0.389968487394958
"Water_Severity_Water_Medium, Overall_Severity_Overall_Medium, Soil_Severity_Soil_Low, Energy_Recovery_Level_Medium_Recovery",Air_Severity_Air_High,0.13,0.4,0.06,0.4615384615384615,1.1538461538461537,1.0,0.007999999999999993,1.114285714285714,0.1532567049808428,0.1276595744680851,0.10256410256410248,0.30576923076923074
"Energy_Recovery_Level_Medium_Recovery, Water_Severity_Water_Medium",Overall_Severity_Overall_Medium,0.225,0.79,0.205,0.911111111111111,1.153305203938115,1.0,0.02724999999999997,2.3624999999999963,0.171518489378442,0.2530864197530864,0.5767195767195761,0.5853023909985935
Overall_Severity_Overall_Low,Air_Severity_Air_Medium,0.21,0.455,0.11,0.5238095238095238,1.1512297226582942,1.0,0.014450000000000005,1.1444999999999999,0.16628308400460304,0.19819819819819817,0.12625600698995199,0.3827838827838828
"Energy_Consumption_Level_High_Consumption, Soil_Severity_Soil_Medium",Air_Severity_Air_Medium,0.105,0.455,0.055,0.5238095238095238,1.1512297226582942,1.0,0.007225000000000002,1.1444999999999999,0.14677501269680046,0.10891089108910891,0.12625600698995199,0.32234432234432236
"Water_Severity_Water_Medium, Overall_Severity_Overall_Medium, Energy_Recovery_Level_High_Recovery, Soil_Severity_Soil_Low",Air_Severity_Air_Medium,0.105,0.455,0.055,0.5238095238095238,1.1512297226582942,1.0,0.007225000000000002,1.1444999999999999,0.14677501269680046,0.10891089108910891,0.12625600698995199,0.32234432234432236
"Energy_Recovery_Level_High_Recovery, Soil_Severity_Soil_Medium",Overall_Severity_Overall_Medium,0.11,0.79,0.1,0.9090909090909092,1.1507479861910241,1.0,0.0131,2.310000000000002,0.14719101123595504,0.125,0.5670995670995674,0.5178365937859609
"Air_Severity_Air_High, Energy_Recovery_Level_Low_Recovery, Water_Severity_Water_Low",Overall_Severity_Overall_Medium,0.055,0.79,0.05,0.9090909090909092,1.1507479861910241,1.0,0.00655,2.310000000000002,0.13862433862433862,0.06289308176100629,0.5670995670995674,0.48619102416570775
"Air_Severity_Air_Medium, Energy_Recovery_Level_Medium_Recovery, Energy_Consumption_Level_Low_Consumption",Overall_Severity_Overall_Medium,0.055,0.79,0.05,0.9090909090909092,1.1507479861910241,1.0,0.00655,2.310000000000002,0.13862433862433862,0.06289308176100629,0.5670995670995674,0.48619102416570775
"Energy_Consumption_Level_Medium_Consumption, Soil_Severity_Soil_Low","Air_Severity_Air_High, Overall_Severity_Overall_Medium",0.22,0.395,0.1,0.4545454545454546,1.1507479861910241,1.0,0.0131,1.1091666666666666,0.16794871794871793,0.1941747572815534,0.09842223891810672,0.35385500575373996
"Energy_Consumption_Level_Medium_Consumption, Soil_Severity_Soil_Medium","Air_Severity_Air_High, Overall_Severity_Overall_Medium",0.11,0.395,0.05,0.4545454545454546,1.1507479861910241,1.0,0.00655,1.1091666666666666,0.14719101123595504,0.10989010989010989,0.09842223891810672,0.2905638665132336
Energy_Consumption_Level_Medium_Consumption,"Air_Severity_Air_High, Overall_Severity_Overall_Medium",0.33,0.395,0.15,0.45454545454545453,1.1507479861910241,1.0,0.019649999999999973,1.1091666666666666,0.19552238805970124,0.26086956521739124,0.09842223891810664,0.41714614499424624
Energy_Recovery_Level_Medium_Recovery,"Water_Severity_Water_Medium, Soil_Severity_Soil_Low",0.33,0.395,0.15,0.45454545454545453,1.1507479861910241,1.0,0.019649999999999973,1.1091666666666666,0.19552238805970124,0.26086956521739124,0.09842223891810664,0.41714614499424624
Energy_Recovery_Level_Medium_Recovery,"Overall_Severity_Overall_Medium, Water_Severity_Water_Medium",0.33,0.54,0.205,0.6212121212121211,1.1503928170594835,1.0,0.026799999999999963,1.2143999999999995,0.19512195121951195,0.30827067669172925,0.17654808959156756,0.5004208754208753
"Air_Severity_Air_Medium, Energy_Consumption_Level_Medium_Consumption, Overall_Severity_Overall_Medium",Water_Severity_Water_Medium,0.095,0.595,0.065,0.6842105263157895,1.149933657673596,1.0,0.008475000000000003,1.2825000000000002,0.14407139821504467,0.10400000000000001,0.2202729044834309,0.39672711189739057
Water_Severity_Water_Medium,Overall_Severity_Overall_Medium,0.595,0.79,0.54,0.9075630252100841,1.1488139559621318,1.0,0.06995000000000001,2.271818181818184,0.3198445358939186,0.6390532544378699,0.5598239295718291,0.7955536645037762
Overall_Severity_Overall_Medium,Water_Severity_Water_Medium,0.79,0.595,0.54,0.6835443037974683,1.1488139559621318,1.0,0.06995000000000001,1.2798,0.6168430335097004,0.6390532544378699,0.21862791061103298,0.7955536645037762
"Energy_Recovery_Level_Low_Recovery, Water_Severity_Water_Low",Soil_Severity_Soil_Low,0.13,0.67,0.1,0.7692307692307693,1.148105625717566,1.0,0.012899999999999995,1.4300000000000002,0.14827586206896545,0.14285714285714285,0.30069930069930073,0.4592422502870264
"Energy_Consumption_Level_High_Consumption, Water_Severity_Water_Low",Soil_Severity_Soil_Low,0.13,0.67,0.1,0.7692307692307693,1.148105625717566,1.0,0.012899999999999995,1.4300000000000002,0.14827586206896545,0.14285714285714285,0.30069930069930073,0.4592422502870264
Energy_Recovery_Level_Medium_Recovery,Water_Severity_Water_Medium,0.33,0.595,0.225,0.6818181818181818,1.1459129106187929,1.0,0.02865000000000001,1.2728571428571427,0.19004975124378115,0.3214285714285714,0.21436588103254764,0.5299847211611918
"Energy_Recovery_Level_Medium_Recovery, Overall_Severity_Overall_Medium, Soil_Severity_Soil_Medium",Water_Severity_Water_Medium,0.11,0.595,0.075,0.6818181818181818,1.1459129106187929,1.0,0.009550000000000003,1.2728571428571427,0.14307116104868917,0.11904761904761904,0.21436588103254764,0.4039343009931245
"Energy_Recovery_Level_Low_Recovery, Energy_Consumption_Level_Low_Consumption","Overall_Severity_Overall_Medium, Soil_Severity_Soil_Low",0.1,0.48,0.055,0.5499999999999999,1.1458333333333333,1.0,0.006999999999999999,1.1555555555555554,0.14141414141414138,0.10476190476190478,0.13461538461538453,0.33229166666666665
"Air_Severity_Air_Medium, Energy_Recovery_Level_High_Recovery",Soil_Severity_Soil_Low,0.15,0.67,0.115,0.7666666666666667,1.144278606965174,1.0,0.014499999999999999,1.4142857142857144,0.14833759590792836,0.1631205673758865,0.292929292929293,0.46915422885572144
"Energy_Recovery_Level_Low_Recovery, Energy_Consumption_Level_Medium_Consumption",Water_Severity_Water_Medium,0.125,0.595,0.085,0.68,1.142857142857143,1.0,0.01062500000000001,1.2656250000000002,0.14285714285714296,0.13385826771653545,0.20987654320987673,0.4114285714285715
"Energy_Recovery_Level_Medium_Recovery, Energy_Consumption_Level_High_Consumption",Air_Severity_Air_Medium,0.125,0.455,0.065,0.52,1.1428571428571428,1.0,0.008125,1.1354166666666665,0.14285714285714285,0.12621359223300968,0.11926605504587158,0.3314285714285714
"Energy_Consumption_Level_High_Consumption, Water_Severity_Water_Medium",Overall_Severity_Overall_Medium,0.205,0.79,0.185,0.9024390243902439,1.1423278789749922,1.0,0.023049999999999987,2.1525000000000003,0.15672276049634531,0.22839506172839505,0.5354239256678281,0.5683081197900587
"Air_Severity_Air_Medium, Overall_Severity_Overall_Medium","Water_Severity_Water_Medium, Soil_Severity_Soil_Low",0.345,0.395,0.155,0.44927536231884063,1.1374059805540269,1.0,0.01872499999999999,1.0985526315789473,0.18443733070672239,0.26495726495726496,0.0897113426757696,0.42084021280498995
"Energy_Consumption_Level_Medium_Consumption, Soil_Severity_Soil_Low",Air_Severity_Air_High,0.22,0.4,0.1,0.4545454545454546,1.1363636363636365,1.0,0.011999999999999997,1.1,0.15384615384615377,0.19230769230769232,0.09090909090909094,0.3522727272727273
"Energy_Consumption_Level_Medium_Consumption, Soil_Severity_Soil_Medium",Air_Severity_Air_High,0.11,0.4,0.05,0.4545454545454546,1.1363636363636365,1.0,0.005999999999999998,1.1,0.13483146067415724,0.10869565217391304,0.09090909090909094,0.2897727272727273
"Water_Severity_Water_Medium, Overall_Severity_Overall_Medium, Soil_Severity_Soil_Low, Energy_Recovery_Level_Low_Recovery",Air_Severity_Air_High,0.11,0.4,0.05,0.4545454545454546,1.1363636363636365,1.0,0.005999999999999998,1.1,0.13483146067415724,0.10869565217391304,0.09090909090909094,0.2897727272727273
"Water_Severity_Water_Medium, Overall_Severity_Overall_Medium, Energy_Consumption_Level_Low_Consumption, Soil_Severity_Soil_Low",Air_Severity_Air_High,0.11,0.4,0.05,0.4545454545454546,1.1363636363636365,1.0,0.005999999999999998,1.1,0.13483146067415724,0.10869565217391304,0.09090909090909094,0.2897727272727273
"Air_Severity_Air_Medium, Energy_Consumption_Level_High_Consumption, Water_Severity_Water_Medium","Overall_Severity_Overall_Medium, Soil_Severity_Soil_Low",0.11,0.48,0.06,0.5454545454545454,1.1363636363636362,1.0,0.007199999999999998,1.144,0.13483146067415727,0.11320754716981131,0.12587412587412583,0.3352272727272727
Energy_Consumption_Level_Medium_Consumption,Air_Severity_Air_High,0.33,0.4,0.15,0.45454545454545453,1.1363636363636362,1.0,0.017999999999999988,1.1,0.1791044776119402,0.25862068965517243,0.09090909090909086,0.41477272727272724
Energy_Consumption_Level_Low_Consumption,"Air_Severity_Air_High, Overall_Severity_Overall_Medium",0.335,0.395,0.15,0.4477611940298507,1.133572643113546,1.0,0.01767499999999997,1.0955405405405405,0.17719298245614,0.25862068965517243,0.08720858517330693,0.41375401473644435
"Energy_Recovery_Level_Medium_Recovery, Energy_Consumption_Level_High_Consumption, Water_Severity_Water_Medium",Overall_Severity_Overall_Medium,0.095,0.79,0.085,0.8947368421052632,1.1325782811459026,1.0,0.00995,1.9949999999999997,0.12934676633084172,0.10625,0.4987468671679197,0.501165889407062
"Overall_Severity_Overall_Medium, Energy_Recovery_Level_High_Recovery, Water_Severity_Water_Medium",Air_Severity_Air_High,0.155,0.4,0.07,0.4516129032258065,1.1290322580645162,1.0,0.008000000000000007,1.0941176470588236,0.1352493660185969,0.1443298969072165,0.08602150537634412,0.31330645161290327
"Energy_Recovery_Level_Medium_Recovery, Energy_Consumption_Level_Medium_Consumption","Overall_Severity_Overall_Medium, Water_Severity_Water_Medium",0.115,0.54,0.07,0.6086956521739131,1.1272141706924315,1.0,0.007899999999999997,1.1755555555555557,0.12752219531880543,0.11965811965811968,0.14933837429111532,0.36916264090177137
"Air_Severity_Air_Medium, Overall_Severity_Overall_Medium, Energy_Consumption_Level_High_Consumption","Water_Severity_Water_Medium, Soil_Severity_Soil_Low",0.135,0.395,0.06,0.4444444444444444,1.1251758087201125,1.0,0.0066749999999999934,1.089,0.12861271676300567,0.1276595744680851,0.08172635445362711,0.29817158931082977
"Energy_Recovery_Level_High_Recovery, Soil_Severity_Soil_Low",Air_Severity_Air_Medium,0.225,0.455,0.115,0.5111111111111111,1.123321123321123,1.0,0.012624999999999997,1.114772727272727,0.1416549789621318,0.20353982300884954,0.10295616717635057,0.3819291819291819
"Energy_Consumption_Level_Low_Consumption, Soil_Severity_Soil_Low",Water_Severity_Water_Low,0.22,0.405,0.1,0.4545454545454546,1.122334455667789,1.0,0.010899999999999993,1.0908333333333333,0.13974358974358964,0.19047619047619047,0.08326967150496566,0.3507295173961841
"Energy_Consumption_Level_Medium_Consumption, Soil_Severity_Soil_Medium",Water_Severity_Water_Low,0.11,0.405,0.05,0.4545454545454546,1.122334455667789,1.0,0.0054499999999999965,1.0908333333333333,0.12247191011235946,0.10752688172043011,0.08326967150496566,0.2890011223344557
"Air_Severity_Air_Medium, Water_Severity_Water_Medium, Soil_Severity_Soil_Low",Overall_Severity_Overall_Medium,0.175,0.79,0.155,0.8857142857142858,1.1211573236889694,1.0,0.016750000000000015,1.8375000000000008,0.130987292277615,0.19135802469135801,0.4557823129251703,0.5409584086799277
"Energy_Consumption_Level_Medium_Consumption, Overall_Severity_Overall_Medium",Water_Severity_Water_Medium,0.27,0.595,0.18,0.6666666666666666,1.1204481792717087,1.0,0.01934999999999998,1.2149999999999999,0.14726027397260258,0.2627737226277372,0.17695473251028804,0.48459383753501395
"Overall_Severity_Overall_Medium, Energy_Consumption_Level_Low_Consumption, Soil_Severity_Soil_Low",Water_Severity_Water_Medium,0.165,0.595,0.11,0.6666666666666666,1.1204481792717087,1.0,0.011825000000000002,1.2149999999999999,0.1287425149700599,0.1692307692307692,0.17695473251028804,0.4257703081232493
"Water_Severity_Water_Low, Soil_Severity_Soil_Medium",Overall_Severity_Overall_Medium,0.13,0.79,0.115,0.8846153846153846,1.1197663096397272,1.0,0.012299999999999991,1.8199999999999992,0.1229385307346326,0.14285714285714285,0.4505494505494503,0.5150925024342745
"Energy_Recovery_Level_Medium_Recovery, Soil_Severity_Soil_Low","Overall_Severity_Overall_Medium, Water_Severity_Water_Medium",0.215,0.54,0.13,0.6046511627906977,1.119724375538329,1.0,0.013899999999999996,1.163529411764706,0.13620774130328267,0.20800000000000002,0.14054600606673417,0.4226959517657192
"Energy_Recovery_Level_Medium_Recovery, Energy_Consumption_Level_Medium_Consumption, Water_Severity_Water_Medium",Soil_Severity_Soil_Low,0.08,0.67,0.06,0.75,1.1194029850746268,1.0,0.006399999999999996,1.3199999999999998,0.11594202898550718,0.08695652173913043,0.24242424242424232,0.4197761194029851
"Energy_Recovery_Level_Low_Recovery, Water_Severity_Water_Medium","Overall_Severity_Overall_Medium, Soil_Severity_Soil_Low",0.205,0.48,0.11,0.5365853658536586,1.1178861788617886,1.0,0.011600000000000013,1.122105263157895,0.13264722698684978,0.19130434782608696,0.10881801125703575,0.38287601626016265
"Energy_Consumption_Level_High_Consumption, Water_Severity_Water_Medium","Overall_Severity_Overall_Medium, Soil_Severity_Soil_Low",0.205,0.48,0.11,0.5365853658536586,1.1178861788617886,1.0,0.011600000000000013,1.122105263157895,0.13264722698684978,0.19130434782608696,0.10881801125703575,0.38287601626016265
"Energy_Consumption_Level_Medium_Consumption, Energy_Recovery_Level_Low_Recovery","Air_Severity_Air_High, Overall_Severity_Overall_Medium",0.125,0.395,0.055,0.44,1.1139240506329113,1.0,0.005624999999999998,1.0803571428571428,0.11688311688311684,0.11827956989247311,0.07438016528925617,0.289620253164557
"Overall_Severity_Overall_Medium, Energy_Consumption_Level_High_Consumption","Water_Severity_Water_Medium, Soil_Severity_Soil_Low",0.25,0.395,0.11,0.44,1.1139240506329113,1.0,0.011249999999999996,1.0803571428571428,0.1363636363636363,0.205607476635514,0.07438016528925617,0.3592405063291139
"Energy_Recovery_Level_Low_Recovery, Energy_Consumption_Level_Medium_Consumption","Water_Severity_Water_Medium, Soil_Severity_Soil_Low",0.125,0.395,0.055,0.44,1.1139240506329113,1.0,0.005624999999999998,1.0803571428571428,0.11688311688311684,0.11827956989247311,0.07438016528925617,0.289620253164557
